author;first_commit;2014-01-01;2014-02-01;2014-03-01;2014-04-01;2014-05-01;2014-06-01;2014-07-01;2014-08-01;2014-09-01;2014-10-01;2014-11-01;2014-12-01;2015-01-01;2015-02-01;2015-03-01;2015-04-01;2015-05-01;2015-06-01;2015-07-01;2015-08-01;2015-09-01;2015-10-01;2015-11-01;2015-12-01;2016-01-01;2016-02-01;2016-03-01;2016-04-01;2016-05-01;2016-06-01;2016-07-01;2016-08-01;2016-09-01;2016-10-01;2016-11-01;2016-12-01;2017-01-01;2017-02-01;2017-03-01;2017-04-01;2017-05-01;2017-06-01;2017-07-01;2017-08-01;2017-09-01;2017-10-01;2017-11-01;2017-12-01;2018-01-01;2018-02-01;2018-03-01;2018-04-01;2018-05-01;2018-06-01;2018-07-01;2018-08-01;2018-09-01;2018-10-01;2018-11-01
Elliot Kroo;2016-05-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erokhin Stanislav;2014-03-01;0;0;20;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eugene Kudelevsky;2014-01-01;5;4;0;0;0;0;0;0;1;4;0;1;0;1;1;3;0;0;0;0;0;2;1;1;0;0;1;2;0;3;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eugene Nizienko;2018-07-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;0;0;0
Eugene Petrenko;2017-02-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eugene Zhuravlev;2014-01-01;1;5;11;14;25;14;21;13;2;23;27;23;17;12;15;19;5;21;12;3;17;9;5;5;8;8;19;24;11;10;8;15;4;11;13;16;5;9;7;15;8;2;15;1;6;12;14;10;8;13;8;10;9;5;5;0;16;12;0
Evgeniy.Stepanov;2017-01-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;3;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
Evgeny Gerashchenko;2014-12-01;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Evgeny Naumenko;2015-11-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Evgeny Pasynkov;2014-01-01;2;6;0;0;2;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
