proj;first_commit;2014-01-01;2014-02-01;2014-03-01;2014-04-01;2014-05-01;2014-06-01;2014-07-01;2014-08-01;2014-09-01;2014-10-01;2014-11-01;2014-12-01;2015-01-01;2015-02-01;2015-03-01;2015-04-01;2015-05-01;2015-06-01;2015-07-01;2015-08-01;2015-09-01;2015-10-01;2015-11-01;2015-12-01;2016-01-01;2016-02-01;2016-03-01;2016-04-01;2016-05-01;2016-06-01;2016-07-01;2016-08-01;2016-09-01;2016-10-01;2016-11-01;2016-12-01;2017-01-01;2017-02-01;2017-03-01;2017-04-01;2017-05-01;2017-06-01;2017-07-01;2017-08-01;2017-09-01;2017-10-01;2017-11-01;2017-12-01;2018-01-01;2018-02-01;2018-03-01;2018-04-01;2018-05-01;2018-06-01;2018-07-01;2018-08-01;2018-09-01;2018-10-01;2018-11-01
ipp;2014-07-01;0;0;0;0;0;0;1;0;3;1;0;2;0;0;0;0;2;1;0;2;1;0;0;0;1;2;0;0;0;0;1;0;0;1;5;0;7;1;2;0;7;9;7;4;3;2;0;0;2;1;0;0;0;0;3;2;0;1;0
java;2014-02-01;0;5;12;1;3;16;13;3;3;6;0;2;2;0;1;5;7;2;16;7;3;1;8;1;20;6;9;9;8;19;22;22;23;47;59;22;17;49;47;40;22;31;39;19;22;51;39;18;33;20;21;34;18;28;24;12;19;46;0
javafx;2014-01-01;4;0;0;0;2;0;2;0;0;0;0;1;0;0;2;0;1;1;0;0;0;0;1;4;0;10;30;32;18;7;0;6;13;12;4;1;5;6;3;0;0;2;0;0;0;1;1;2;0;0;2;0;0;0;0;0;0;5;0
jetcheck;2017-08-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;5;13;2;12;0;1;2;6;0;0;0;0;0
junit;2014-01-01;5;1;2;1;0;2;0;0;2;0;0;1;0;1;8;7;4;3;6;3;1;1;3;0;1;1;3;0;0;0;1;1;15;3;3;2;0;2;3;1;1;3;2;2;3;2;0;2;4;0;7;2;2;1;0;1;4;3;0
jvm-lang;2017-08-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;31;7;13;0;1;19;28;14;2;0;0;1;0;0;0
log;2014-01-01;9;5;133;1;124;1;6;12;8;24;16;6;1;82;0;2;15;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lst;2015-05-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;1;1;3;0;9;3;1;6;16;1;3;5;0;11;0;2;0;1;0;0;5;1;0;2;0;0;0;0;68;14;25;9;5;0;1;2;18;0;2;0
maven;2014-01-01;1;0;0;3;3;1;2;3;3;2;5;3;3;4;9;12;1;0;6;6;5;1;8;4;1;0;7;1;1;4;2;4;9;8;1;0;1;2;0;10;6;2;1;4;5;0;1;3;1;0;0;1;1;4;1;15;0;8;0
merge;2014-03-01;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;21;9;3;2;12;0;0;8;3;11;2;2;0;1;4;2;2;1;5;7;2;0;0;2;0;0;2;0;0;0;0;1;0;0;1;4;4;0;0;0
